CDS folder name,Description of the data type,Bioportal search date,Bioportal search terms,Standard term selected,Bioportal link to standard term,Accronym of the corresponding bio-ontology,Version of the corresponding bio-ontology,"Entry by (Name, email)",Comments
monofilament_foot sensation_test,Monofilament Test data,2023/05/22,monofilament test,Monofilament foot sensation test,https://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C129294,NCIT,23.04d ,"AI-READI team, bpatel@calmi2.org",
blood_test,Blood tests data,2023/05/22,blood test,blood test,https://bioportal.bioontology.org/ontologies/SNOMEDCT?p=classes&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2FSNOMEDCT%2F396550006,SNOMEDCT,2022AB,"AI-READI team, bpatel@calmi2.org",
urine_test,Urine tests data,2023/05/22,urine test,urine test,https://bioportal.bioontology.org/ontologies/SCDO?p=classes&conceptid=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C17241,SCDO,2021-04-15 ,"AI-READI team, bpatel@calmi2.org",The Bioportal Ontology Recommender ranked the ONTONEO ontology first but that ontology seems to involve foreign language terms so the 2nd ranked SCDO was selected
electrocardiogram,"Electrocardiogram (EKG, ECG) data",2023/05/22,electrocardiogram EKG ECG,Electrocardiogram,https://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C168186,NCIT,23.04d ,"AI-READI team, bpatel@calmi2.org",
eye_fundus_photography,Color fundus photography data,2023/05/22,color fundus photography,Eye Fundus Photography,https://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C147467,NCIT,23.04d ,"AI-READI team, bpatel@calmi2.org",
optical_coherence_tomography,Optical coherence tomography (OCT) data,2023/05/22,optical coherence tomography OCT,Optical Coherence Tomography,https://bioportal.bioontology.org/ontologies/NCIT?p=classes&conceptid=http%3A%2F%2Fncicb.nci.nih.gov%2Fxml%2Fowl%2FEVS%2FThesaurus.owl%23C20828,NCIT,23.04d ,"AI-READI team, bpatel@calmi2.org",
optical_coherence_tomography_angiography,Optical coherence tomography angiography (OCTA) data,2023/05/22,optical coherence tomography angiography OCTA,Optical Coherence Tomography Angiography,NA,NA,NA,"AI-READI team, bpatel@calmi2.org",No relevant term found on Bioportal
fluorescence_lifetime_imaging_ophthalmoscopy,Fluorescence lifetime imaging ophthalmoscopy (FLIO) data,2023/05/22,fluorescence lifetime imaging ophthalmoscopy FLIO,Fluorescence Lifetime Imaging Ophthalmoscopy,NA,NA,NA,"AI-READI team, bpatel@calmi2.org",No relevant term found on Bioportal
continuous_glucose_monitoring,Continuous glucose monitoring data,2023/05/22,continuous glucose monitoring,Continuous glucose monitoring,https://bioportal.bioontology.org/ontologies/MEDDRA?p=classes&conceptid=http%3A%2F%2Fpurl.bioontology.org%2Fontology%2FMEDDRA%2F10079764,MEDDRA,2022AB,"AI-READI team, bpatel@calmi2.org",
activity_monitoring,Activity monitoring data,2023/05/22,activity monitoring,Activity Monitoring,NA,NA,NA,"AI-READI team, bpatel@calmi2.org",No relevant term found on Bioportal
environmental_sensor_measurements,Environmental Sensor data,2023/05/22,environmental sensor,environmental sensor measurements,NA,NA,NA,"AI-READI team, bpatel@calmi2.org",No relevant term found on Bioportal
